City_ID,City,Country,Max Temp,Lat,Lng,Current Descrption,Hotel Name
253,Emerald,AU,73.99,-23.53,148.16,few clouds,The Irish Village
254,Zuenoula,CI,75.72,7.43,-6.04,clear sky,Hotel Prestige Zla
255,Hualmay,PE,77.0,-11.1,-77.61,overcast clouds,Hotel Restaurant Turístico Casablanca
261,Caravelas,BR,78.39,-17.73,-39.27,overcast clouds,Pousada Dos Navegantes
262,Micheweni,TZ,82.76,-4.97,39.83,overcast clouds,
264,Moussoro,TD,65.12,13.64,16.49,clear sky,Pharmacie alnadja Moussoro
266,Ribeira Grande,PT,64.4,38.52,-28.7,scattered clouds,Quinta da Meia Eira
269,Puri,ID,73.58,-7.54,112.45,broken clouds,KOST DINDA KHUSUS PUTRI
270,Lebu,ET,60.8,8.96,38.73,few clouds,Dah-Lak Guest House
271,Vilhena,BR,77.0,-12.74,-60.15,broken clouds,Hotel Mirage
272,Terra Santa,BR,88.12,-2.1,-56.49,overcast clouds,Hotel Sarah
276,Lockhart,AU,71.6,-35.22,146.72,broken clouds,Railway Hotel
277,San Francisco,CO,73.4,1.17,-76.88,scattered clouds,Estación de Policía San Francisco
281,Carutapera,BR,82.63,-1.2,-46.02,overcast clouds,Lidera
282,Gat,SN,73.4,14.69,-16.54,dust,
283,Kyabe,TD,73.17,9.45,18.94,clear sky,
284,Northam,AU,66.2,-31.65,116.67,clear sky,Northam Motel
285,Cayenne,GF,82.4,4.94,-52.33,broken clouds,Hôtel Le Dronmi
286,Junin,PE,60.8,-16.45,-71.58,broken clouds,Hostal Bolivar
292,Chhatak,BD,61.86,25.03,91.67,scattered clouds,Sadi Internationl Hotel
293,Destin,US,64.99,30.39,-86.5,clear sky,Inn On Destin Harbor
297,Kibaya,RW,60.6,-2.2,30.56,clear sky,Kibungo - Centre St. Joseph Guest House
298,Palani,IN,70.81,10.45,77.52,broken clouds,Vasavi Cottage
301,Lumberton,US,68.0,30.27,-94.2,clear sky,Days Inn by Wyndham Lumberton
303,Lagos,NG,75.2,6.46,3.39,haze,"Radisson Blu Anchorage Hotel, Lagos, V.I."
304,Kununurra,AU,80.6,-15.77,128.74,broken clouds,Hotel Kununurra
307,Chuy,UY,74.25,-33.69,-53.46,few clouds,Nuevo Hotel Plaza
308,Roebourne,AU,81.91,-20.77,117.15,overcast clouds,Harding River Caravan Park
