City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descrption,Rain inches (last 3 hours),Snow inches (last 3 hours)
92,Jamestown,AU,2020-01-04 20:53:36,-33.21,138.6,55.47,52,99,15.46,overcast clouds,0.0,0.0
93,Riom,FR,2020-01-04 20:53:36,45.89,3.11,36.0,93,10,2.86,clear sky,0.0,0.0
94,Georgetown,GY,2020-01-04 20:53:36,6.8,-58.16,86.0,69,20,9.17,few clouds,0.0,0.0
95,Muriti,TZ,2020-01-04 20:53:36,-1.99,32.93,71.6,78,20,15.3,few clouds,0.0,0.0
96,Norman Wells,CA,2020-01-04 20:53:36,65.28,-126.83,-18.4,68,90,5.82,light snow,0.0,0.0
97,Bluff,AU,2020-01-04 20:50:04,-23.58,149.07,72.23,72,59,8.48,broken clouds,0.0,0.0
98,Tupik,RU,2020-01-04 20:53:37,54.43,119.94,-2.06,89,100,0.63,overcast clouds,0.0,0.0
99,Turukhansk,RU,2020-01-04 20:50:18,65.8,87.96,8.47,93,100,11.18,light snow,0.0,0.25
100,Gold Coast,AU,2020-01-04 20:53:37,-28.0,153.41,75.99,69,3,10.29,clear sky,0.0,0.0
101,Lokomotivnyy,RU,2020-01-04 20:53:37,53.01,60.57,17.6,90,0,14.85,clear sky,0.0,0.0
102,Pokrovsk,RU,2020-01-04 20:53:38,61.48,129.14,-13.18,98,100,3.49,light snow,0.0,0.13
103,Saint George,GR,2020-01-04 20:53:38,39.45,22.34,43.0,54,75,1.43,broken clouds,0.0,0.0
104,Bandar-E Anzali,IR,2020-01-04 20:53:38,37.47,49.46,49.8,85,99,6.4,light rain,0.63,0.0
105,Chokurdakh,RU,2020-01-04 20:53:38,70.62,147.9,-14.71,98,73,0.81,broken clouds,0.0,0.0
106,Lavrentiya,RU,2020-01-04 20:50:19,65.58,-170.99,-11.18,85,78,11.18,broken clouds,0.0,0.0
107,Kostomuksha,RU,2020-01-04 20:53:39,64.59,30.6,23.07,92,100,10.8,light snow,0.0,0.25
108,Ballina,IE,2020-01-04 20:53:39,54.11,-9.15,48.99,93,90,14.99,light intensity drizzle,0.0,0.0
109,Cabo San Lucas,MX,2020-01-04 20:53:39,22.89,-109.91,80.01,56,5,10.29,clear sky,0.0,0.0
110,Linfen,CN,2020-01-04 20:53:39,36.09,111.52,36.73,88,100,13.4,moderate rain,4.13,0.0
111,Magadan,RU,2020-01-04 20:53:40,59.56,150.8,18.61,75,54,20.47,broken clouds,0.0,0.0
112,Port Alfred,ZA,2020-01-04 20:53:40,-33.59,26.89,71.01,98,100,3.0,overcast clouds,0.0,0.0
113,Victoria,BN,2020-01-04 20:53:40,5.28,115.24,80.6,83,75,4.7,broken clouds,0.0,0.0
114,Dayong,CN,2020-01-04 20:53:41,25.02,118.29,60.8,87,57,2.24,broken clouds,0.0,0.0
115,Grand Forks,US,2020-01-04 20:50:13,47.91,-97.06,21.2,92,1,14.99,mist,0.0,0.0
116,Bitung,ID,2020-01-04 20:53:41,1.44,125.19,73.4,100,40,2.24,scattered clouds,0.0,0.0
117,Margate,AU,2020-01-04 20:53:41,-43.03,147.26,55.99,43,75,6.93,broken clouds,0.0,0.0
118,Saskylakh,RU,2020-01-04 20:49:44,71.97,114.09,-21.41,95,62,6.04,broken clouds,0.0,0.0
119,Qaanaaq,GL,2020-01-04 20:50:19,77.48,-69.36,-40.9,61,0,5.1,clear sky,0.0,0.0
120,Eydhafushi,MV,2020-01-04 20:53:42,5.1,73.07,81.77,78,100,7.92,overcast clouds,0.0,0.0
