City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Necochea,AR,2020-01-04 05:12:48,-38.55,-58.74,61.93,89,0,13.85
94,Arraial Do Cabo,BR,2020-01-04 05:12:35,-22.97,-42.02,75.7,83,68,16.02
95,Faanui,PF,2020-01-04 05:11:29,-16.48,-151.75,81.54,79,36,10.54
96,Chokurdakh,RU,2020-01-04 05:11:21,70.62,147.9,-20.25,99,38,3.33
97,Barrow,AR,2020-01-04 05:10:57,-38.31,-60.23,66.92,67,0,15.64
98,Chicama,PE,2020-01-04 05:10:56,-7.84,-79.15,69.8,83,87,8.05
99,Barrhead,CA,2020-01-04 05:13:55,54.12,-114.4,23.0,73,90,9.17
100,Jacqueville,CI,2020-01-04 05:13:55,5.21,-4.42,73.4,49,30,9.17
101,Mut,TR,2020-01-04 05:13:56,36.64,33.44,38.01,71,12,4.65
102,Ilulissat,GL,2020-01-04 05:10:55,69.22,-51.1,17.6,61,100,12.75
103,Broome,GB,2020-01-04 05:11:28,52.47,1.45,42.01,86,61,10.29
104,Port Elizabeth,US,2020-01-04 05:11:55,39.31,-74.98,50.0,100,90,3.96
105,Santa Maria,BR,2020-01-04 05:13:56,-16.02,-48.01,69.8,94,40,5.82
106,Tuktoyaktuk,CA,2020-01-04 05:11:09,69.44,-133.03,-20.2,68,40,16.11
107,Mackay,CA,2020-01-04 05:12:32,53.65,-115.58,19.4,100,90,11.41
108,Jining,CN,2020-01-04 05:13:57,35.41,116.58,51.19,38,86,1.05
109,Qaanaaq,GL,2020-01-04 05:11:11,77.48,-69.36,-41.37,97,100,1.48
110,Busselton,AU,2020-01-04 05:10:52,-33.64,115.35,79.0,15,13,18.43
111,Inyonga,TZ,2020-01-04 05:13:58,-6.72,32.06,70.3,84,95,4.45
112,Hamm,DE,2020-01-04 05:13:58,51.68,7.82,39.99,93,75,12.75
113,Grand Gaube,MU,2020-01-04 05:12:56,-20.01,57.66,78.01,100,75,5.82
114,Novyy Urgal,RU,2020-01-04 05:12:18,51.07,132.56,-16.74,91,3,1.34
115,Airai,TL,2020-01-04 05:11:33,-8.93,125.41,69.3,87,100,4.65
116,Thompson,CA,2020-01-04 05:09:30,55.74,-97.86,-2.2,84,20,5.82
117,Kirkwall,GB,2020-01-04 05:14:00,58.98,-2.96,41.0,86,100,16.11
118,Ugoofaaru,MV,2020-01-04 05:12:25,5.67,73.0,83.07,75,49,12.21
119,Waingapu,ID,2020-01-04 05:12:24,-9.65,120.26,83.37,79,93,32.19
120,Esperance,AU,2020-01-04 05:12:22,-33.86,121.89,71.6,37,40,17.22
121,Camacha,PT,2020-01-04 05:11:48,33.08,-16.33,62.6,67,20,8.05
122,Ribeira Grande,PT,2020-01-04 05:11:19,38.52,-28.7,60.39,90,79,15.43
123,Hilo,US,2020-01-04 05:07:04,19.71,-155.08,78.8,65,40,3.36
124,Pisco,PE,2020-01-04 05:11:22,-13.71,-76.2,71.6,88,90,10.29
125,Kysyl-Syr,RU,2020-01-04 05:14:02,63.9,122.77,-26.7,96,100,8.75
126,Pinega,RU,2020-01-04 05:14:03,64.7,43.39,27.9,84,100,9.15
127,Bredasdorp,ZA,2020-01-04 05:11:17,-34.53,20.04,69.01,77,4,5.41
128,Derzhavinsk,KZ,2020-01-04 05:14:03,51.1,66.31,18.43,96,95,8.34
129,Geraldton,CA,2020-01-04 05:12:55,49.72,-86.95,14.0,85,90,2.24
130,New Norfolk,AU,2020-01-04 05:11:12,-42.78,147.06,69.8,26,75,21.92
131,Guilin,CN,2020-01-04 05:14:04,25.28,110.29,53.6,76,90,4.47
132,Axim,GH,2020-01-04 05:14:04,4.87,-2.24,70.03,56,52,3.94
133,Taitung,TW,2020-01-04 05:14:04,22.76,121.15,77.0,65,40,10.29
134,Codrington,AU,2020-01-04 05:10:48,-28.95,153.24,98.6,38,0,14.99
135,Ahipara,NZ,2020-01-04 05:14:05,-35.17,173.16,69.01,62,73,1.01
136,Yumen,CN,2020-01-04 05:11:39,40.29,97.04,26.94,46,0,3.0
137,Sittingbourne,GB,2020-01-04 05:14:05,51.34,0.73,42.8,86,52,13.87
138,Sumbe,AO,2020-01-04 05:14:05,-11.2,13.84,75.25,93,100,2.98
